input_text,response_text
What is the price of the TV?,"Sure, let me check the latest price for you."
Do you have any gas cookers?,"Sure, let me see what gas cookers we have in stock."
I need a fridge.,Let me check the available fridges for you.
Can you tell me about your Samsung products?,I can provide you with the latest details on our Samsung products.
Do you have any discounts on electronics?,Let me check if we have any discounts on electronics.
What is the price of the washing machine?,"Sure, let me check the latest price for you."
Do you sell air conditioners?,"Sure, let me see what air conditioners we have in stock."
I need a microwave oven.,Let me check the available microwave ovens for you.
Can you tell me about your LG products?,I can provide you with the latest details on our LG products.
Do you have any offers on home appliances?,Let me check if we have any offers on home appliances.
What is the price of the dishwasher?,"Sure, let me check the latest price for you."
Do you have any electric stoves?,"Sure, let me see what electric stoves we have in stock."
I need a blender.,Let me check the available blenders for you.
Can you tell me about your Sony products?,I can provide you with the latest details on our Sony products.
Do you have any sales on kitchen appliances?,Let me check if we have any sales on kitchen appliances.
What is the price of the laptop?,"Sure, let me check the latest price for you."
Do you sell smartphones?,"Sure, let me see what smartphones we have in stock."
I need a coffee maker.,Let me check the available coffee makers for you.
Can you tell me about your Apple products?,I can provide you with the latest details on our Apple products.
Do you have any promotions on electronics?,Let me check if we have any promotions on electronics.
What is the price of the tablet?,"Sure, let me check the latest price for you."
Do you sell vacuum cleaners?,"Sure, let me see what vacuum cleaners we have in stock."
I need a toaster.,Let me check the available toasters for you.
Can you tell me about your Dell products?,I can provide you with the latest details on our Dell products.
Do you have any discounts on gadgets?,Let me check if we have any discounts on gadgets.
What is the price of the camera?,"Sure, let me check the latest price for you."
Do you sell headphones?,"Sure, let me see what headphones we have in stock."
I need a hair dryer.,Let me check the available hair dryers for you.
Can you tell me about your HP products?,I can provide you with the latest details on our HP products.
Do you have any deals on electronics?,Let me check if we have any deals on electronics.
What is the price of the smartwatch?,"Sure, let me check the latest price for you."
Do you sell printers?,"Sure, let me see what printers we have in stock."
I need a slow cooker.,Let me check the available slow cookers for you.
Can you tell me about your Lenovo products?,I can provide you with the latest details on our Lenovo products.
Do you have any offers on computers?,Let me check if we have any offers on computers.
What is the price of the gaming console?,"Sure, let me check the latest price for you."
Do you sell speakers?,"Sure, let me see what speakers we have in stock."
I need a rice cooker.,Let me check the available rice cookers for you.
Can you tell me about your Acer products?,I can provide you with the latest details on our Acer products.
Do you have any promotions on audio equipment?,Let me check if we have any promotions on audio equipment.
What is the price of the projector?,"Sure, let me check the latest price for you."
Do you sell tablets?,"Sure, let me see what tablets we have in stock."
I need a vacuum sealer.,Let me check the available vacuum sealers for you.
Can you tell me about your Asus products?,I can provide you with the latest details on our Asus products.
Do you have any discounts on household items?,Let me check if we have any discounts on household items.
What is the price of the soundbar?,"Sure, let me check the latest price for you."
Do you sell gaming laptops?,"Sure, let me see what gaming laptops we have in stock."
I need an air purifier.,Let me check the available air purifiers for you.
Can you tell me about your Panasonic products?,I can provide you with the latest details on our Panasonic products.
Do you have any sales on small appliances?,Let me check if we have any sales on small appliances.
What is the price of the juicer?,"Sure, let me check the latest price for you."
Do you sell fitness trackers?,"Sure, let me see what fitness trackers we have in stock."
I need a bread maker.,Let me check the available bread makers for you.
Can you tell me about your Toshiba products?,I can provide you with the latest details on our Toshiba products.
Do you have any promotions on kitchen gadgets?,Let me check if we have any promotions on kitchen gadgets.
What is the price of the freezer?,"Sure, let me check the latest price for you."
Do you sell dehumidifiers?,"Sure, let me see what dehumidifiers we have in stock."
I need a slow cooker.,Let me check the available slow cookers for you.
Can you tell me about your Nikon products?,I can provide you with the latest details on our Nikon products.
Do you have any deals on cameras?,Let me check if we have any deals on cameras.
What is the price of the smart speaker?,"Sure, let me check the latest price for you."
Do you sell smartwatches?,"Sure, let me see what smartwatches we have in stock."
I need a popcorn maker.,Let me check the available popcorn makers for you.
Can you tell me about your Fujifilm products?,I can provide you with the latest details on our Fujifilm products.
Do you have any offers on home entertainment?,Let me check if we have any offers on home entertainment.
What is the price of the air fryer?,"Sure, let me check the latest price for you."
Do you sell robotic vacuum cleaners?,"Sure, let me see what robotic vacuum cleaners we have in stock."
I need a coffee grinder.,Let me check the available coffee grinders for you.
Can you tell me about your Huawei products?,I can provide you with the latest details on our Huawei products.
Do you have any sales on mobile phones?,Let me check if we have any sales on mobile phones.
What is the price of the air conditioner?,"Sure, let me check the latest price for"
